X,Y,Z,Label
103.0,-1.403,498.017,CL
103.2,-1.507,498.038,CL
103.4,-1.609,498.062,CL
103.6,-1.709,498.087,CL
103.8,-1.807,498.115,CL
104.0,-1.904,498.054,CL
104.2,-1.998,498.073,CL
104.4,-2.091,498.093,CL
104.6,-2.181,498.114,CL
104.8,-2.269,498.137,CL
105.0,-2.355,498.161,CL
105.2,-2.439,498.185,CL
105.4,-2.52,498.21,CL
105.6,-2.6,498.235,CL
105.8,-2.676,498.26,CL
106.0,-2.75,498.268,CL
106.2,-2.822,498.263,CL
106.4,-2.891,498.258,CL
106.6,-2.958,498.255,CL
106.8,-3.022,498.256,CL
107.0,-3.084,498.257,CL
107.2,-3.143,498.257,CL
107.4,-3.199,498.258,CL
107.6,-3.253,498.258,CL
107.8,-3.304,498.258,CL
108.0,-3.353,498.259,CL
108.2,-3.399,498.259,CL
108.4,-3.443,498.259,CL
108.6,-3.484,498.259,CL
108.8,-3.523,498.258,CL
109.0,-3.559,498.23,CL
109.2,-3.593,498.194,CL
109.4,-3.625,498.157,CL
109.6,-3.655,498.12,CL
109.8,-3.683,498.084,CL
110.0,-3.709,498.048,CL
110.2,-3.732,498.014,CL
110.4,-3.754,497.982,CL
110.6,-3.775,497.952,CL
110.8,-3.793,497.925,CL
111.0,-3.81,497.901,CL
111.2,-3.826,497.88,CL
111.4,-3.84,497.862,CL
111.6,-3.852,497.849,CL
111.8,-3.864,497.839,CL
112.0,-3.875,497.833,CL
112.2,-3.884,497.83,CL
112.4,-3.893,497.831,CL
112.6,-3.901,497.835,CL
112.8,-3.908,497.842,CL
113.0,-3.914,497.851,CL
113.2,-3.92,497.863,CL
113.4,-3.926,497.876,CL
113.6,-3.931,497.891,CL
113.8,-3.936,497.906,CL
114.0,-3.94,497.922,CL
114.2,-3.944,497.938,CL
114.4,-3.949,497.953,CL
114.6,-3.953,497.967,CL
114.8,-3.957,497.978,CL
115.0,-3.961,497.986,CL
115.2,-3.965,497.993,CL
115.4,-3.969,497.999,CL
115.6,-3.973,498.003,CL
115.8,-3.977,498.005,CL
116.0,-3.981,498.006,CL
116.2,-3.986,498.006,CL
116.4,-3.99,498.005,CL
116.6,-3.995,498.003,CL
116.8,-4.0,498.0,CL
117.0,-4.005,497.995,CL
117.2,-4.011,497.991,CL
117.4,-4.016,497.985,CL
117.6,-4.021,497.979,CL
117.8,-4.027,497.973,CL
118.0,-4.033,497.967,CL
118.2,-4.039,497.96,CL
118.4,-4.044,497.953,CL
118.6,-4.05,497.947,CL
118.8,-4.056,497.94,CL
119.0,-4.062,497.932,CL
119.2,-4.068,497.925,CL
119.4,-4.074,497.919,CL
119.6,-4.08,497.913,CL
119.8,-4.086,497.907,CL
120.0,-4.092,497.994,CL
120.2,-4.097,497.989,CL
120.4,-4.103,497.986,CL
120.6,-4.108,497.982,CL
120.8,-4.114,497.98,CL
121.0,-4.119,497.979,CL
121.2,-4.124,497.978,CL
121.4,-4.129,497.978,CL
121.6,-4.134,497.979,CL
121.8,-4.139,497.98,CL
122.0,-4.143,497.983,CL
122.2,-4.148,497.986,CL
122.4,-4.152,497.99,CL
122.6,-4.157,497.994,CL
122.8,-4.161,497.999,CL
123.0,-4.165,498.005,CL
123.2,-4.169,498.012,CL
123.4,-4.173,498.019,CL
123.6,-4.177,498.026,CL
123.8,-4.181,498.033,CL
124.0,-4.185,498.038,CL
124.2,-4.189,498.044,CL
124.4,-4.193,498.05,CL
124.6,-4.197,498.056,CL
124.8,-4.201,498.062,CL
125.0,-4.205,498.067,CL
125.2,-4.21,498.072,CL
125.4,-4.214,498.078,CL
125.6,-4.219,498.082,CL
125.8,-4.223,498.087,CL
126.0,-4.228,498.091,CL
126.2,-4.233,498.094,CL
126.4,-4.239,498.097,CL
126.6,-4.244,498.099,CL
126.8,-4.25,498.102,CL
127.0,-4.256,498.103,CL
127.2,-4.262,498.103,CL
127.4,-4.268,498.103,CL
127.6,-4.275,498.102,CL
127.8,-4.282,498.101,CL
128.0,-4.289,498.099,CL
128.2,-4.297,498.096,CL
128.4,-4.304,498.092,CL
128.6,-4.312,498.088,CL
128.8,-4.32,498.084,CL
129.0,-4.329,498.078,CL
129.2,-4.337,498.072,CL
129.4,-4.346,498.066,CL
129.6,-4.355,498.059,CL
129.8,-4.364,498.052,CL
130.0,-4.373,498.044,CL
130.2,-4.382,498.036,CL
130.4,-4.392,498.028,CL
130.6,-4.401,498.02,CL
130.8,-4.411,498.012,CL
131.0,-4.42,498.0,CL
131.2,-4.43,497.989,CL
131.4,-4.439,497.978,CL
131.6,-4.449,497.968,CL
131.8,-4.458,497.958,CL
132.0,-4.468,497.949,CL
132.2,-4.477,497.94,CL
132.4,-4.486,497.933,CL
132.6,-4.495,497.925,CL
132.8,-4.503,497.919,CL
133.0,-4.512,497.913,CL
133.2,-4.52,497.908,CL
133.4,-4.528,497.904,CL
133.6,-4.536,497.901,CL
133.8,-4.543,497.898,CL
134.0,-4.551,497.896,CL
134.2,-4.557,497.895,CL
134.4,-4.564,497.894,CL
134.6,-4.571,497.894,CL
134.8,-4.577,497.895,CL
135.0,-4.582,497.896,CL
135.2,-4.588,497.837,CL
135.4,-4.593,497.84,CL
135.6,-4.598,497.843,CL
135.8,-4.603,497.847,CL
136.0,-4.607,497.852,CL
136.2,-4.611,497.857,CL
136.4,-4.615,497.862,CL
136.6,-4.619,497.868,CL
136.8,-4.623,497.875,CL
137.0,-4.626,497.882,CL
137.2,-4.63,497.89,CL
137.4,-4.633,497.898,CL
137.6,-4.636,497.906,CL
137.8,-4.639,497.915,CL
138.0,-4.642,497.922,CL
138.2,-4.645,497.929,CL
138.4,-4.648,497.936,CL
138.6,-4.651,497.942,CL
138.8,-4.655,497.948,CL
139.0,-4.658,497.953,CL
139.2,-4.661,497.959,CL
139.4,-4.665,497.963,CL
139.6,-4.668,497.967,CL
139.8,-4.672,497.971,CL
140.0,-4.676,497.973,CL
140.2,-4.68,497.975,CL
140.4,-4.684,497.977,CL
140.6,-4.689,497.977,CL
140.8,-4.693,497.977,CL
141.0,-4.698,497.976,CL
141.2,-4.703,497.974,CL
141.4,-4.708,497.972,CL
141.6,-4.714,497.97,CL
141.8,-4.719,497.966,CL
142.0,-4.725,497.962,CL
142.2,-4.731,497.958,CL
142.4,-4.737,497.953,CL
142.6,-4.743,497.947,CL
142.8,-4.749,497.942,CL
143.0,-4.755,497.936,CL
143.2,-4.761,497.928,CL
143.4,-4.767,497.921,CL
143.6,-4.773,497.913,CL
143.8,-4.779,497.906,CL
144.0,-4.785,497.9,CL
144.2,-4.791,497.894,CL
144.4,-4.796,497.888,CL
144.6,-4.802,497.883,CL
144.8,-4.807,497.879,CL
145.0,-4.812,497.875,CL
145.2,-4.817,497.872,CL
145.4,-4.821,497.869,CL
145.6,-4.825,497.867,CL
145.8,-4.829,497.865,CL
146.0,-4.833,497.864,CL
