X,S,C
11.200000000000001,-0.14479304405836046,-0.0012250780553021334
11.4,-0.14604402843540853,-0.0012743547730004658
11.600000000000001,-0.14734580672180186,-0.0013116239587398569
11.8,-0.14868616687831704,-0.0013365802374534325
12.0,-0.15005256802528066,-0.0013491061955881358
12.200000000000001,-0.15143233054175909,-0.0013492614698221489
12.4,-0.15281281584010742,-0.0013372695523251382
12.600000000000001,-0.15418159351394323,-0.0013135026985887062
12.8,-0.1555265939112651,-0.001278465343169707
13.0,-0.15683624455904166,-0.0012327764415853452
13.200000000000001,-0.1580995892518331,-0.001177151146870898
13.4,-0.15930638900823269,-0.001112382223535255
13.600000000000001,-0.1604472044865055,-0.001039321580728975
13.8,-0.16151345982900622,-0.0009588622834832168
14.0,-0.16249748826446364,-0.0008719213631076956
14.200000000000001,-0.16339256013443304,-0.0007794237206024392
14.4,-0.16419289431638262,-0.0006822873654956785
14.600000000000001,-0.16489365428866165,-0.0005814102029990506
14.8,-0.16549093031579787,-0.00047765852236938993
15.0,-0.16598170942335244,-0.0003718573096739913
15.200000000000001,-0.16636383497830565,-0.0002647824540498607
15.4,-0.1666359577903691,-0.00015715487751620532
15.600000000000001,-0.16679748070317402,-4.963657092493002e-05
15.8,-0.16684849865060158,5.7171531997674373e-05
16.0,-0.1667897361152697,0.00016272985692584343
16.2,-0.16662248384455225,0.0002665589574690083
16.400000000000002,-0.16634853655830284,0.0003682367099932704
16.6,-0.1659701332249064,0.0004673942677034067
16.8,-0.1654899012932347,0.0005637109043090811
17.0,-0.1649108060523936,0.0006569080022588669
17.2,-0.16423610605390238,0.0007467424173224553
17.400000000000002,-0.1634693152791904,0.0008329994608636896
17.6,-0.16261417247300258,0.0009154857560539704
17.8,-0.1616746177993491,0.0009940222159374372
18.0,-0.16065477671373785,0.0010684373783032375
18.2,-0.15955895069342674,0.00113856132854726
18.400000000000002,-0.15839161422811543,0.0012042204195658792
18.6,-0.15715741725530918,0.0012652329772377812
18.8,-0.15586119203059923,0.0013214061526955873
