X,Y,ID
36,5,LB0
37,5,LB0
38,5,LB0
39,5,LB0
40,5,LB0
41,5,LB0
42,5,LB0
43,5,LB0
44,5,LB0
45,5,LB0
46,5,LB0
47,5,LB0
48,5,LB0
49,5,LB0
50,5,LB0
51,5,LB0
52,5,LB0
53,5,LB0
54,5,LB0
55,5,LB0
56,5,LB0
57,5,LB0
58,5,LB0
59,5,LB0
60,5,LB0
61,5,LB0
62,5,LB0
63,5,LB0
64,5,LB0
65,5,LB0
66,5,LB0
67,5,LB0
68,5,LB0
69,5,LB0
70,5,LB0
71,5,LB0
72,5,LB0
73,5,LB0
74,5,LB0
75,5,LB0
76,5,LB0
77,5,LB0
78,5,LB0
79,5,LB0
80,5,LB0
81,5,LB0
82,5,LB0
83,5,LB0
84,5,LB0
85,5,LB0
86,5,LB0
87,5,LB0
88,5,LB0
89,5,LB0
90,5,LB0
91,5,LB0
92,5,LB0
93,5,LB0
94,5,LB0
95,5,LB0
96,5,LB0
97,5,LB0
98,5,LB0
99,5,LB0
100,5,LB0
101,5,LB0
102,5,LB0
103,5,LB0
104,5,LB0
105,5,LB0
106,5,LB0
107,5,LB0
108,5,LB0
109,5,LB0
110,5,LB0
111,5,LB0
112,5,LB0
113,5,LB0
114,5,LB0
115,5,LB0
116,5,LB0
117,5,LB0
118,5,LB0
119,5,LB0
120,5,LB0
121,5,LB0
122,5,LB0
123,5,LB0
124,5,LB0
125,5,LB0
126,5,LB0
127,5,LB0
128,5,LB0
129,5,LB0
130,5,LB0
131,5,LB0
132,5,LB0
133,5,LB0
134,5,LB0
135,5,LB0
136,5,LB0
137,5,LB0
138,5,LB0
138,4,LB0
138,3,LB0
0,14,LB1
1,14,LB1
2,15,LB1
3,15,LB1
4,15,LB1
5,15,LB1
6,15,LB1
7,15,LB1
8,16,LB1
9,16,LB1
10,16,LB1
11,16,LB1
12,16,LB1
13,16,LB1
14,16,LB1
15,16,LB1
16,16,LB1
17,16,LB1
18,16,LB1
19,16,LB1
20,16,LB1
21,16,LB1
22,16,LB1
23,16,LB1
24,16,LB1
25,16,LB1
26,16,LB1
27,16,LB1
28,16,LB1
29,15,LB1
30,15,LB1
31,15,LB1
32,15,LB1
33,15,LB1
34,14,LB1
35,14,LB1
36,14,LB1
37,14,LB1
38,14,LB1
39,14,LB1
40,14,LB1
41,13,LB1
42,13,LB1
43,13,LB1
44,13,LB1
45,13,LB1
46,13,LB1
47,12,LB1
48,12,LB1
49,12,LB1
50,12,LB1
51,12,LB1
52,12,LB1
53,12,LB1
54,12,LB1
55,12,LB1
56,12,LB1
57,12,LB1
58,13,LB1
59,13,LB1
60,13,LB1
61,13,LB1
62,13,LB1
63,13,LB1
64,13,LB1
65,13,LB1
66,14,LB1
67,14,LB1
68,14,LB1
69,14,LB1
70,14,LB1
71,15,LB1
72,15,LB1
73,15,LB1
74,15,LB1
75,15,LB1
76,16,LB1
77,16,LB1
78,16,LB1
79,16,LB1
80,16,LB1
81,16,LB1
82,16,LB1
83,16,LB1
84,16,LB1
85,16,LB1
86,16,LB1
87,16,LB1
88,16,LB1
89,16,LB1
90,16,LB1
91,16,LB1
92,16,LB1
93,16,LB1
94,16,LB1
95,16,LB1
96,16,LB1
97,15,LB1
98,15,LB1
99,15,LB1
100,15,LB1
101,15,LB1
102,15,LB1
103,14,LB1
104,14,LB1
105,14,LB1
106,14,LB1
107,14,LB1
108,14,LB1
109,13,LB1
110,13,LB1
111,13,LB1
112,13,LB1
113,13,LB1
114,13,LB1
115,13,LB1
116,13,LB1
117,12,LB1
118,12,LB1
119,12,LB1
120,12,LB1
121,12,LB1
122,12,LB1
123,12,LB1
124,12,LB1
125,12,LB1
126,12,LB1
127,12,LB1
128,13,LB1
129,13,LB1
130,13,LB1
131,13,LB1
132,13,LB1
133,13,LB1
134,14,LB1
135,14,LB1
136,14,LB1
137,14,LB1
138,14,LB1
0,13,LB2
1,13,LB2
2,13,LB2
3,13,LB2
4,13,LB2
5,13,LB2
6,13,LB2
7,13,LB2
8,13,LB2
9,13,LB2
10,13,LB2
11,13,LB2
12,13,LB2
13,13,LB2
14,13,LB2
15,13,LB2
16,13,LB2
17,13,LB2
18,13,LB2
19,13,LB2
20,13,LB2
21,13,LB2
22,13,LB2
23,13,LB2
24,13,LB2
25,13,LB2
26,13,LB2
27,13,LB2
28,13,LB2
29,13,LB2
30,13,LB2
31,13,LB2
32,13,LB2
33,13,LB2
34,13,LB2
35,13,LB2
36,13,LB2
37,13,LB2
38,13,LB2
39,13,LB2
40,13,LB2
41,13,LB2
42,13,LB2
43,13,LB2
44,13,LB2
45,13,LB2
46,13,LB2
47,13,LB2
48,13,LB2
49,13,LB2
50,13,LB2
51,13,LB2
52,13,LB2
53,13,LB2
54,13,LB2
55,13,LB2
56,13,LB2
57,13,LB2
58,13,LB2
59,13,LB2
60,13,LB2
61,13,LB2
62,13,LB2
63,13,LB2
64,13,LB2
65,13,LB2
66,13,LB2
67,13,LB2
68,13,LB2
69,13,LB2
70,13,LB2
71,13,LB2
72,13,LB2
73,13,LB2
74,13,LB2
75,13,LB2
76,13,LB2
77,13,LB2
78,13,LB2
79,13,LB2
80,13,LB2
81,13,LB2
82,13,LB2
83,13,LB2
84,13,LB2
85,13,LB2
86,13,LB2
87,13,LB2
88,13,LB2
89,13,LB2
90,13,LB2
91,13,LB2
92,13,LB2
93,13,LB2
94,13,LB2
95,13,LB2
96,13,LB2
97,13,LB2
98,13,LB2
99,13,LB2
100,13,LB2
101,13,LB2
102,13,LB2
103,13,LB2
104,13,LB2
105,13,LB2
106,13,LB2
107,13,LB2
108,13,LB2
109,13,LB2
110,13,LB2
111,13,LB2
112,13,LB2
113,13,LB2
114,13,LB2
115,13,LB2
116,13,LB2
117,13,LB2
118,13,LB2
119,13,LB2
120,13,LB2
121,13,LB2
122,13,LB2
123,13,LB2
124,13,LB2
125,13,LB2
126,13,LB2
127,13,LB2
128,13,LB2
129,13,LB2
130,13,LB2
131,13,LB2
132,13,LB2
133,13,LB2
134,13,LB2
135,13,LB2
136,13,LB2
137,13,LB2
138,13,LB2
0,0.0,CL
1,0.0,CL
2,0.0,CL
3,0.0,CL
4,0.0,CL
5,0.0,CL
6,0.0,CL
7,0.0,CL
8,0.0,CL
9,0.0,CL
10,0.0,CL
11,0.0,CL
12,0.0,CL
13,0.0,CL
14,0.0,CL
15,0.0,CL
16,0.0,CL
17,0.0,CL
18,0.0,CL
19,0.0,CL
20,0.0,CL
21,0.0,CL
22,0.0,CL
23,0.0,CL
24,0.0,CL
25,0.0,CL
26,0.0,CL
27,0.0,CL
28,0.0,CL
29,0.0,CL
30,0.0,CL
31,0.0,CL
32,0.0,CL
33,0.0,CL
34,0.0,CL
35,0.0,CL
36,0.0,CL
37,0.0,CL
38,0.0,CL
39,0.0,CL
40,0.0,CL
41,0.0,CL
42,0.0,CL
43,0.0,CL
44,0.0,CL
45,0.0,CL
46,0.0,CL
