X,S,C
64.00668013801548,-0.28133485950251763,-0.0012147335746691902
64.94745168117824,-0.2826461871802645,-0.0011925193715723627
65.89102009986335,-0.28393441039385203,-0.001170754691097314
66.83727083979188,-0.28519997113664525,-0.0011494362740001038
67.78608869550408,-0.2864433095725306,-0.0011285613246781975
68.73735784487647,-0.2876648645032218,-0.001108127494660975
69.69096188383865,-0.2888650738196306,-0.0010881328666893957
70.64678386126607,-0.29004437493833546,-0.001068575941300106
71.6047063140327,-0.29120320522322096,-0.0010494556207939674
72.56461130219255,-0.29234200239306174,-0.001030771196752816
73.52638044427583,-0.29346120491541566,-0.0010125223363397582
74.48989495267026,-0.2945612523874534,-0.0009947090693641944
75.45503566907273,-0.2956425859040567,-0.0009773317757715695
76.42168309998029,-0.2967056484136097,-0.0009603911744268422
77.38971745220691,-0.2977508850620756,-0.0009438883107612714
78.35901866839778,-0.2987787435257118,-0.0009278245465970503
79.32946646252057,-0.29978967433283205,-0.0009122015496014991
80.30094035531704,-0.300784131175005,-0.0008970212820436209
81.27331970968216,-0.30176257120830735,-0.0008822859921338127
82.24648376596359,-0.3027254553446878,-0.0008679982046324971
83.22031167714812,-0.303673248534331,-0.0008541607104534548
84.19468254392223,-0.30460642003891353,-0.0008407765607720103
85.16947544958174,-0.30552544369658236,-0.0008278490557576556
86.14456949477375,-0.30643079817886826,-0.0008153817381473059
87.11984383204856,-0.3073229672399809,-0.0008033783861840216
88.09517770020241,-0.3082024399589298,-0.0007918430061776109
89.07045045839536,-0.309069710974951,-0.0007807798259778841
90.04554162001963,-0.30992528071641917,-0.000770193287484025
91.02033088630668,-0.3107696556241646,-0.0007600880412100703
91.99469817965007,-0.3116033483690657,-0.0007504689422592824
92.96852367663274,-0.3124268780648893,-0.0007413410430651405
93.94168784073358,-0.3132407704763893,-0.0007327095885505715
94.91407145470583,-0.3140455582235672,-0.0007245800144106071
95.8855556526094,-0.3148417809822725,-0.0007169579396360285
96.85602195147521,-0.31562998568170286,-0.0007098491641097512
97.82535228259759,-0.3164107266994072,-0.0007032596659879297
98.79342902243339,-0.3171845660542388,-0.000697195598518841
99.7601350230979,-0.31795207359784455,-0.000691663286897668
100.72535364244405,-0.31871382720519964,-0.0006866692283890791
101.68896877371087,-0.31947041296473166,-0.0006822200872376456
102.65086487473225,-0.3202224253685708,-0.0006783226970268026
103.61092699669855,-0.32097046750402797,-0.000674984057943674
104.56904081244855,-0.3217151512459269,-0.0006722113377853697
105.52509264429763,-0.3224570974515266,-0.0006700118709803589
106.47896949138214,-0.3231969361578254,-0.0006683931606595848
107.43055905651747,-0.3239353067826537,-0.0006673628799376476
108.3797497725582,-0.32467285832957,-0.0006669288727953782
109.32643082825733,-0.32541024959787324,-0.0006670991563029227
110.27049219361439,-0.32614814939823283,-0.000667881925082859
111.21182464470998,-0.3268872367746713,-0.0006692855538843767
112.15031978801947,-0.3276282012338777,-0.0006713186016197502
113.0858700842011,-0.3283717429825853,-0.0006739898157058165
114.01836887135788,-0.3291185731740407,-0.0006773081378507208
114.94771038776362,-0.32986941416411864,-0.0006812827104045296
115.87378979406026,-0.33062499977877347,-0.0006859228825575686
116.79650319491108,-0.3313860755927659,-0.0006912382168170046
117.71574766012156,-0.33215339922158627,-0.0006972384991852698
118.63142124521988,-0.3329277406277188,-0.000703933745621776
119.54342301149246,-0.3337098824408815,-0.0007113342130161238
120.45165304548833,-0.3345006202959595,-0.0007194504088260065
121.35601247797574,-0.3353007631872512,-0.0007282931025039355
122.2564035023655,-0.33611113384195873,-0.0007378733374756397
123.1527293925972,-0.33693256911408287,-0.000748202444437656
124.04489452048705,-0.3377659203990426,-0.0007592920541381289
124.93280437254784,-0.3386120540721426,-0.0007711541130192415
125.81636556627505,-0.3394718519510415,-0.0007838008984307133
126.69548586590686,-0.34034621178418495,-0.0007972450357644922
127.57007419766492,-0.3412360477680592,-0.0008114995162412091
128.44004066446888,-0.3421422910929439,-0.0008265777156701769
129.3052965601398,-0.34306589052064285,-0.0008424934153402513
130.1657543830942,-0.3440078129964766,-0.0008592608224813145
131.0213278495254,-0.3449690442955742,-0.0008768945922443853
131.87193190608906,-0.3459505897080192,-0.0008954098540524465
132.71748274209153,-0.3469534747638409,-0.0009148222351564722
133.55789780118545,-0.34797874600102535,-0.0009351478872018618
134.3930957925801,-0.3490274717781628,-0.0009564035158621068
135.22299670177455,-0.35010074313605666,-0.0009786064102968737
136.04752180081348,-0.3511996747098061,-0.0010017744738852724
136.86659365807745,-0.35232540569540277,-0.0010259262584595941
137.68013614761028,-0.35347910087382023,-0.0010510809994338387
138.48807445799062,-0.3546619516962801,-0.001077258653302336
139.2903351007541,-0.3558751774346534,-0.0011044799354049787
140.08684591836987,-0.35712002639990137,-0.0011327663627300382
140.87753609178517,-0.35839777723555083,-0.0011621402967107175
141.66233614753133,-0.3597097402871372,-0.001192624990007529
142.44117796441128,-0.36105725905602887,-0.0012242446326721573
143.21399477976368,-0.36244171173978784,-0.001257024406775531
143.9807211953198,-0.36386451286860055,-0.0012909905368354705
144.7412931826457,-0.36532711503852894,-0.0013261703485472592
145.49564808819198,-0.3668310107532044,-0.0013625923286390313
146.24372463794526,-0.36837773437885857,-0.0014002861860295986
146.98546294168744,-0.36996886421739333,-0.0014392829216308225
147.7208044968805,-0.37160602471242704,-0.0014796148952184846
148.4496921921633,-0.37329088878867084,-0.0015213159024142148
149.1720703104849,-0.3750251803410163,-0.0015644212508218185
149.88788453186578,-0.37681067687856623,-0.0016089678438708595
150.59708193580107,-0.37864921233809273,-0.0016549942664226662
151.29961100330328,-0.38054268007492653,-0.0017025408783379384
151.99542161859816,-0.3824930360476105,-0.0017516499110424503
152.68446507047116,-0.38450230220782855,-0.0018023655696560378
153.36669405327208,-0.3865725701105996,-0.0018547341418145577
154.04206266758393,-0.38870600476220873,-0.0019088041119811802
154.71052642055642,-0.3909048487215249,-0.0019646262823146774
155.37204222591225,-0.39317142647475134,-0.0020222539012145074
156.02656840363,-0.3955081491050082,-0.002081742798239791
156.67406467930326,-0.39791751927745533,-0.0021431515254461114
157.3144921831835,-0.4004021365633569,-0.002206541513585921
157.94781344891643,-0.4029647031373025,-0.002271977225262184
158.5739924119563,-0.405608029862669,-0.0023395263311816643
159.19299440768842,-0.40833504281334465,-0.0024092598843391566
159.8047861692375,-0.41114879025241413,-0.0024812525124288274
160.40933582498428,-0.4140524501145801,-0.0025555826187043775
161.00661289578414,-0.4170493380313148,-0.0026323325927945377
161.5965882918904,-0.42014291594172154,-0.00271158903961934
162.1792343095924,-0.4233368013455473,-0.0025905392754003763
162.75452462755987,-0.4263949622855911,0.0005804665870201766
163.3230609954949,-0.425709129194263,-0.006722121169836746
163.89472963944038,-0.4336723968818762,-0.0034619619916013756
164.447476930054,-0.437791657054411,-0.0025756629629951314
164.99164769756464,-0.4408644472191993,-0.003233420433812642
165.52996399582872,-0.4447318464278823,-0.00365217863523292
166.06082128093672,-0.44911351274299555,-0.003035685672523641
166.5833843969673,-0.4527664967435316,-0.004349188275611159
167.09947402069216,-0.4580176312137333,-0.003018667202462105
167.606113023158,-0.4616746221501044,-0.004034256407319653
168.10675850543623,-0.4665779129610174,-0.0040079909150615494
168.59927222698167,-0.4714675933340828,-0.0027258427066329583
169.08399736805606,-0.47480363653529256,-0.00603846160381862
169.56390279582862,-0.48222476702487505,-0.002491928888505741
170.03229933476484,-0.4852998724926536,-0.006657663994525417
170.49668800394295,-0.4935523079019245,-0.0025628281797011408
170.94915873935628,-0.4967434687966782,-0.004561374040233608
171.39777752511543,-0.5024433349376315,-0.007919531841255479
171.83900216487075,-0.5124019818977077,-0.0022890632734901208
172.26734006661965,-0.5152954508526729,-0.004751665255095363
172.69269731461185,-0.5213236283705356,-0.005505844357329237
173.1111027612095,-0.5283460695488541,-0.007859058227155205
173.5216040360108,-0.5384411059798818,-0.004230894741048368
173.9209941422775,-0.5439111105396912,-0.006004352636363615
174.31498371488226,-0.5517173744081392,-0.006200353006711854
174.70123984691838,-0.5598329316894326,-0.0032433710990688353
175.0797825814811,-0.5641005810989957,-0.009793858031150028
175.454722646432,-0.5770830772242861,-0.00582232336279534
175.8178716484716,-0.584870633022259,-0.00827800020514335
176.17458021801508,-0.5960346251688553,-0.0044373727901719
176.52222530575156,-0.602064394198956,-0.010261143089366194
176.86544972431318,-0.6161324163292532,-0.007811363108428491
177.19809167497073,-0.626961461145621,-0.004224418335432749
177.5231802137494,-0.6328620798557427,-0.012265821408626022
177.84454312871196,-0.6501758068835293,-0.008649190156057493
178.15454944921981,-0.662551158222812,-0.004109761683686931
178.45708560872637,-0.6684811789870805,-0.014914619329012896
178.75641602367065,-0.6902796005160445,-0.00450719505198341
179.0434246863735,-0.6969552251537087,-0.013266054307408869
179.32716476395044,-0.7168503342764957,-0.008006120032031485
179.6008358414975,-0.7290408184156503,-0.014184352165535064
179.86884868044055,-0.7509926364144623,-0.006303982383337737
180.12698515104418,-0.760899031968467,-0.016341272536830445
180.38110138206395,-0.7870285898932755,-0.006942378163809947
180.62469052736913,-0.7983331221779307,-0.017411253739694623
180.86418001677177,-0.8272460009710526,-0.0076644886041195995
181.093359944436,-0.8402382050416367,-0.018544111314577432
181.31835599828733,-0.8723789477761511,-0.008480926072015574
181.53327146769044,-0.8874259275351878,-0.014357852434216743
181.7439144335748,-0.9134239860664459,-0.02041154869268163
181.94740366016592,-0.9515825176012559,-0.009865422020914293
182.14115355041005,-0.9705599421294796,-0.016097504657070327
182.33051186326776,-1.0023200305629727,-0.022437026750159426
182.51283002215408,-1.048341006363504,-0.011507249219835317
182.68576837837253,-1.0727909714449537,-0.018052805529529665
182.85419241810877,-1.1123916420590532,-0.018756768963700817
183.01569719532517,-1.1552577442880085,-0.02540828911972766
183.1703244480087,-1.2163838524917598,-0.014109953262444113
183.31605910097952,-1.2519841211908707,-0.021003928114654697
183.45712874620003,-1.3073757109892516,-0.021802044839540576
183.5914508453481,-1.368185414544404,-0.026315264189181453
183.71907008955014,-1.4466024890681317,-0.021848872933801455
183.8389568819536,-1.5163904657314171,-0.021966372337912467
183.95272626787218,-1.591377027725217,-0.025168319425788708
184.06058237065022,-1.684013497129899,-0.0260451149997592
184.16192128565316,-1.7885276498624156,-0.03254426260238866
184.25679104252077,-1.9336752683278262,-0.02188241354761995
184.34392221867736,-2.04197817556431,-0.02867560343389494
184.42607067997483,-2.199487870587162,-0.029541664053396793
184.50189759966082,-2.383986375432723,-0.030389337809777255
184.57145338923337,-2.6030266124311083,-0.03121109712344236
184.63478902680274,-2.867270045385923,-0.031998931237108626
184.69195604214147,-3.192269264616919,-0.03274447598651666
184.74300650189102,-3.601636147440332,-0.037393960927465386
184.78799299486695,-4.2057381764062605,-0.02972540737238628
184.82626734211058,-4.840839206596608,-0.0346350037114374
184.8593538635408,-5.858057452076159,-0.03512812115913805
184.88653667911365,-7.420925456011315,-0.03553863307397939
184.9078702868277,-10.128892450151037,-0.03586034828776117
184.92340963616795,-15.966809659317143,-0.03608825471601928
184.93321011449626,-37.78412026565555,-0.036218707032748106
184.93732753355997,102.4690024301505,-0.03624957024022182
184.9358181163107,21.71986599034577,-0.036180302628001024
184.9287384837766,12.139727221187044,-0.03601198002023163
184.91614564228777,8.420757573908189,-0.0485281957238129
184.89809697064487,5.9420849456485545,-0.010339171448185734
184.87272189506282,5.588402746910724,-0.047611956236965514
184.8457870818658,4.375629542378211,-0.03441396220488636
184.81165883937146,3.7728512804439855,-0.033815810781661765
184.77230867926409,3.3158219692608557,-0.03315286990849334
184.72779569477626,2.9574303788109355,-0.03243355969915266
184.67817927993843,2.6688952227796676,-0.03166644401439257
184.62351911847233,2.4316407588888977,-0.030860018691264944
184.56387517295988,2.2331416998482365,-0.030022524526949868
184.49930767404783,2.06464532753294,-0.02916179858866091
184.42987711009397,1.919850634078755,-0.028285154500148603
184.3556442168307,1.7941061119822266,-0.03085805592467473
184.27666996752137,1.6707137844067768,-0.021400457372437502
184.19241463668538,1.5923677862496155,-0.029524379195971756
184.10443391789406,1.492639945800915,-0.02274171135201918
184.01119577915475,1.4216285454700488,-0.02386218558876265
183.91382438957234,1.3518926471768151,-0.023007765326506766
183.8120210447534,1.2887872700315317,-0.022170518273516397
183.70584797560682,1.231421835725011,-0.021352702109537637
183.59536758691308,1.1790587870185623,-0.020521755076404403
183.48064244926894,1.1311603496177625,-0.02409626883027091
183.36174246136594,1.0776796902623957,-0.01511756162741422
183.23779740021888,1.0455260840821228,-0.018096213608248257
183.11063479751587,1.0083478076911252,-0.01759261984501508
182.97952421092947,0.9734825175215304,-0.016915419702122632
182.844485455178,0.9410675730980758,-0.016262637840834652
182.7055819657647,0.9108622173664334,-0.01961016357305277
182.56287729391093,0.8756072993671817,-0.011610978788965576
182.41544598108288,0.8552998669421855,-0.013992365045299625
182.26518849695563,0.8313565402535219,-0.012539976744988357
182.11143615672336,0.8103672295991357,-0.015988694691589252
181.95449569322892,0.7842154509175188,-0.0151018880289553
181.79336261418257,0.7601096498958206,-0.00945500476071148
181.62816882068515,0.7452978669662226,-0.00921469308356007
181.460423624834,0.7310620625365888,-0.015348721074402652
181.2901544816346,0.7077697219364747,-0.009000676313174772
181.11549947900178,0.6943454207572427,-0.01423652981633314
180.9382696214921,0.6734503756375999,-0.005589846607509574
180.75679429605245,0.6653557235468025,-0.011684573155382067
180.5737079431608,0.648627699449457,-0.00828211196176999
180.3870353603228,0.6369237608351259,-0.009709397263384765
180.19781384762325,0.6233589943882718,-0.010845337707339935
180.0055220033179,0.608399958645046,-0.0054333549293024575
179.8097071333414,0.6009798997418692,-0.007994488048617293
179.61217901503306,0.5901497905860053,-0.010656404763278404
179.41201505106287,0.5758712629223613,-0.00478144206035043
179.20820782967874,0.5695215975571976,-0.006732859894965717
179.00283425895762,0.5606388287352482,-0.009181475902437954
178.79515432841342,0.5486329318963933,-0.004887116629011068
178.58420588872562,0.542291754168753,-0.004956352668778943
178.37157502478436,0.5358949763992157,-0.009397732019106321
178.1572155363072,0.5238586345565774,-0.003715487044223186
177.93935361789585,0.519132691102443,-0.0047168290481406465
177.72020006896128,0.5131592651075847,-0.007457925661686597
177.49933796140277,0.5037731732739636,-0.0038326728826404994
177.27562102802705,0.49897705312072316,-0.004151897713307366
177.05051097524426,0.4938021149975895,-0.006327488731397819
176.82385969171926,0.48595613832617973,-0.002476328961244742
176.59472441278643,0.48289868898548427,-0.005534613813525
176.36472584324912,0.4760915758247647,-0.004694530048256287
176.13253172351233,0.4703457684470697,-0.0027553836345618294
175.89848003059703,0.4669851714489267,-0.0032267667200635447
175.6634087761534,0.46306062717864904,-0.004499003912896991
175.4270986260841,0.45760824592350596,-0.0031209875903415417
175.18896397873164,0.45383907781844224,-0.002594254875766755
174.94961025015883,0.4507141566944611,-0.004071642107349837
174.70926706046984,0.4458243344920277,-0.0011966643078468878
174.46724342768002,0.4443905862027389,-0.00428734594611002
174.22485819487548,0.43926629403884676,-0.001373413570615918
173.98066445544094,0.4376288604463444,-0.0026721735524044975
173.73601551172206,0.4344486262960948,-0.0020612258148453846
173.49029319593944,0.4320005419442476,-0.0015076034677691643
173.24377826935503,0.43021274579226115,-0.002603343163186323
172.99672797554322,0.42713101260187825,-0.0010442684888491796
172.74861189028158,0.4258967768972734,-0.0019252278554797591
172.50017159065303,0.42362419627811815,-0.001052745190777344
