X,Y,Z,Label
8.0,-4.0,1001.713,XS
8.0,-3.0,1001.73,XS
8.0,-2.0,1001.659,XS
8.0,-1.0,1001.624,XS
9.0,0.0,1001.716,XS
9.0,1.0,1001.657,XS
9.0,2.0,1001.6,XS
9.0,3.0,1001.572,XS
9.0,4.0,1001.544,XS
9.0,5.0,1001.491,XS
9.0,6.0,1001.532,XS
9.0,7.0,1001.572,XS
9.0,8.0,1001.528,XS
9.0,9.0,1001.488,XS
9.0,10.0,1001.471,XS
9.0,11.0,1001.454,XS
9.0,12.0,1001.43,XS
9.0,13.0,1001.427,XS
9.0,14.0,1001.451,XS
9.0,15.0,1001.474,XS
9.0,16.0,1002.35,XS
9.0,-14.0,1002.395,XS
9.0,-13.0,1002.269,XS
9.0,-12.0,1002.229,XS
9.0,-11.0,1002.189,XS
9.0,-10.0,1002.11,XS
9.0,-9.0,1002.032,XS
9.0,-8.0,1001.993,XS
9.0,-7.0,1001.954,XS
9.0,-6.0,1001.878,XS
9.0,-5.0,1001.803,XS
9.0,-4.0,1001.901,XS
9.0,-3.0,1001.838,XS
9.0,-1.0,1001.747,XS
9.0,-2.0,1001.777,XS
10.0,0.0,1001.818,XS
10.0,1.0,1001.767,XS
10.0,2.0,1001.716,XS
10.0,3.0,1001.783,XS
10.0,4.0,1001.667,XS
10.0,5.0,1001.618,XS
10.0,6.0,1001.637,XS
10.0,7.0,1001.655,XS
10.0,8.0,1001.615,XS
10.0,9.0,1001.578,XS
10.0,10.0,1001.562,XS
10.0,11.0,1001.546,XS
10.0,12.0,1001.523,XS
10.0,13.0,1001.515,XS
10.0,14.0,1001.592,XS
10.0,15.0,1001.551,XS
10.0,16.0,1002.335,XS
10.0,-14.0,1002.38,XS
10.0,-13.0,1002.285,XS
10.0,-12.0,1002.252,XS
10.0,-11.0,1002.22,XS
10.0,-10.0,1002.155,XS
10.0,-9.0,1002.091,XS
10.0,-8.0,1002.128,XS
10.0,-7.0,1002.027,XS
10.0,-6.0,1001.964,XS
10.0,-5.0,1001.932,XS
10.0,-4.0,1001.901,XS
10.0,-3.0,1001.921,XS
10.0,-2.0,1001.869,XS
10.0,-1.0,1001.843,XS
11.0,0.0,1001.872,XS
11.0,1.0,1001.828,XS
11.0,2.0,1001.805,XS
11.0,3.0,1001.783,XS
11.0,4.0,1001.739,XS
11.0,5.0,1001.696,XS
11.0,6.0,1001.706,XS
11.0,7.0,1001.715,XS
11.0,8.0,1001.68,XS
11.0,9.0,1001.647,XS
11.0,10.0,1001.703,XS
11.0,11.0,1001.619,XS
11.0,12.0,1001.598,XS
11.0,13.0,1001.595,XS
11.0,14.0,1001.592,XS
11.0,15.0,1001.623,XS
11.0,16.0,1002.32,XS
11.0,-14.0,1002.365,XS
11.0,-13.0,1002.283,XS
11.0,-12.0,1002.276,XS
11.0,-11.0,1002.232,XS
11.0,-10.0,1002.18,XS
11.0,-9.0,1002.154,XS
11.0,-8.0,1002.128,XS
11.0,-7.0,1002.076,XS
11.0,-6.0,1002.025,XS
11.0,-5.0,1001.999,XS
11.0,-4.0,1001.973,XS
11.0,-3.0,1001.962,XS
11.0,-2.0,1001.917,XS
11.0,-1.0,1001.948,XS
12.0,0.0,1001.908,XS
12.0,1.0,1001.868,XS
12.0,2.0,1001.849,XS
12.0,3.0,1001.829,XS
12.0,4.0,1001.79,XS
12.0,5.0,1001.752,XS
12.0,6.0,1001.758,XS
12.0,7.0,1001.764,XS
12.0,8.0,1001.732,XS
12.0,9.0,1001.717,XS
12.0,10.0,1001.703,XS
12.0,11.0,1001.678,XS
12.0,12.0,1001.659,XS
12.0,13.0,1001.656,XS
12.0,14.0,1001.653,XS
12.0,15.0,1001.681,XS
12.0,16.0,1002.305,XS
12.0,-14.0,1002.35,XS
12.0,-13.0,1002.313,XS
12.0,-12.0,1002.276,XS
12.0,-11.0,1002.231,XS
12.0,-10.0,1002.187,XS
12.0,-9.0,1002.164,XS
12.0,-8.0,1002.142,XS
12.0,-7.0,1002.097,XS
12.0,-6.0,1002.052,XS
12.0,-5.0,1002.03,XS
12.0,-4.0,1002.007,XS
12.0,-3.0,1001.988,XS
12.0,-2.0,1001.968,XS
12.0,-1.0,1001.948,XS
13.0,0.0,1001.936,XS
13.0,1.0,1001.9,XS
13.0,2.0,1001.883,XS
13.0,3.0,1001.865,XS
13.0,4.0,1001.831,XS
13.0,5.0,1001.797,XS
13.0,6.0,1001.829,XS
13.0,7.0,1001.781,XS
13.0,8.0,1001.771,XS
13.0,9.0,1001.758,XS
13.0,10.0,1001.745,XS
13.0,11.0,1001.722,XS
13.0,12.0,1001.705,XS
13.0,13.0,1001.702,XS
13.0,14.0,1001.7,XS
13.0,15.0,1001.725,XS
13.0,16.0,1002.29,XS
13.0,-14.0,1002.32,XS
13.0,-13.0,1002.293,XS
13.0,-12.0,1002.266,XS
13.0,-11.0,1002.226,XS
13.0,-10.0,1002.187,XS
13.0,-9.0,1002.185,XS
13.0,-8.0,1002.147,XS
13.0,-7.0,1002.108,XS
13.0,-6.0,1002.068,XS
13.0,-5.0,1002.078,XS
13.0,-4.0,1002.028,XS
13.0,-3.0,1002.007,XS
13.0,-2.0,1001.989,XS
13.0,-1.0,1001.971,XS
14.0,0.0,1001.955,XS
14.0,1.0,1001.923,XS
14.0,2.0,1001.936,XS
14.0,3.0,1001.891,XS
14.0,4.0,1001.86,XS
14.0,5.0,1001.845,XS
14.0,6.0,1001.829,XS
14.0,7.0,1001.799,XS
14.0,8.0,1001.796,XS
14.0,9.0,1001.784,XS
14.0,10.0,1001.772,XS
14.0,11.0,1001.751,XS
14.0,12.0,1001.735,XS
14.0,13.0,1001.75,XS
14.0,14.0,1001.731,XS
14.0,15.0,1001.754,XS
14.0,16.0,1002.014,XS
14.0,17.0,1002.275,XS
14.0,-14.0,1002.305,XS
14.0,-13.0,1002.28,XS
14.0,-12.0,1002.255,XS
14.0,-11.0,1002.22,XS
14.0,-10.0,1002.202,XS
14.0,-9.0,1002.185,XS
14.0,-8.0,1002.149,XS
